Q/A,QA,Category_1
answer,I don't have any idea.,dno
question,Do you know if Lorillard has the ability to make a cigarette not containing those harmful components?,bin
answer,"At present, I don't believe they do.",so
question,Does Lorillard conduct biological tests on its products for safety?,bin
answer,Lorillard conducts biological tests on its products to determine the biological effect of the product itself .,sno
question,Would those tests determine if a product is considered safe?,bin
answer,What do you mean by safe?,wh
question,Without risk to the consumer.,sno
answer,"You're asking for Lorillard policy now and I believe we agree that the surgeon, as the Surgeon General said, all cigarettes contain risk.",sno
question,I'm asking why Lorillard conducts biological tests on its cigarettes.,wh
answer,"Again, it's a matter of maintaining a consistency in the product itself.",sno
question,When did Lorillard begin doing biological tests on their cigarettes?,wh
answer,I don't know.,dno
question,"But today, they're currently doing biological testing?",bin
answer,"That's correct, and as long as I can remember, they have been doing biological testing. I don't know when they began.",dno
question,Do you know if Lorillard keeps all the data in research reports generated from those biological tests?,bin
answer,"Yes, they do.",y
question,And where is that data and research kept?,wh
answer,"Our filing cabinets upstairs, the majority of it has been published and peer review journals.",sno
question,Do you know if Lorillard currently does any tests on their commercially sold cigarettes?,bin
answer,They have certainly done tests on any cigarette before it's being sold commercially.,sno
question,Does Lorillard use reference cigarettes in its testing?,bin
answer,Yes.,y
question,And could you define for me what a reference cigarette is?,wh
answer,Kentucky 2R5F10 or 4F2R4F cigarette is a reference cigarette for the FTC smoking. The PM16 monitor is a reference cigarette used to calibrate the instrumentation.,sno
question,And how is a reference cigarette different from a commercial cigarette?,wh
answer,"I'm sorry, I don't know, there are some differences but I don't know what they are. M3 -fc- CO",dno
question,What is the purpose for studying a reference cigarette?,wh
answer,"Well, for the PM Monitor 16, the purpose is to make certain the instruments are delivering the correct numbers for biological tests, reference cigarettes usually done repeatedly to a certain of the biological tests are reproducible and repeatable. I think that's the reason for any reference.",sno
question,Does Lorillard test any commercial cigarettes regarding toxicology effects on animals?,bin
answer,"Yes, it does.",y
question,And what are those tests?,wh
answer,Rat inhalation is one and mouse skin painting is another.,sno
question,And what is Lorillard what is the reason for Lorillard doing those tests?,wh
answer,"These were the -- mouse skin painting test -- I'm sorry, let me start over. Mouse skin painting tests is a very old test that will raise tumors on mouse skin with painted tar. The tumors are quantitative and you can determine the level of tumor in tonicity of the tar itself, through quantification on the mouse skin and painting test. It's not the most sensitive test but we have a lot of historic data by which we can reference and compare it to. Rat inhalation is a way of measuring combustion products of the tobacco itself on lung tissue, biological tissues.",sno
question,Has Lorillard researched the particle size in the particulate phase of mainstream and sidestream smoke?,bin
answer,Not that I know of.,dno
question,Have you yourself been responsible for any publications of Lorillard research and scientific journals or in conferences?,bin
answer,Yes.,y
question,"Before you presented that work for publication or in the conference, was that work reviewed by anyone here at Lorillard?",bin
answer,"In a general sense, yes, it was always reviewed by the supervisor of staff.",y-d
question,Were you given a list of criteria of what they would be reviewing in your research or reports for publication?,wh
answer,"No, it was mostly for grammar and spelling to accuracy.",n-d
question,Has any of your scientific research that you've written for publication been stopped from being published,bin
answer,No.,n
answer,"Yes, they have, all of the additives.",y-d
question,And what are those studies?,wh
answer,"I mean, they're published. They're inhalation studies, published in peer review journals.",sno
question,Could you name a few of those peer review journals that you're --,incomplete
answer,"Journal of Inhalation Toxicology, for one.",sno
question,What's another one?,wh
answer,"I think I'm sorry, I don't know, I'd be guessing.",dno
question,Okay. Has Lorillard studied the effects of ammonia on the release of free nicotine?,bin
answer,Ammonia is a stronger base than nicotine.,sno
question,Does Lorillard believe that ammonia has an effect on the release of nicotine when smoked?,bin
answer,"I'm sorry, please ask that again.",nu
question,Do you know if Lorillard adds ammonia to its cigarettes?,bin
answer,"Yes, I do know that. They don't,",y-d
question,They don't?,nu
answer,"They don't add ammonia, no.",n-d
question,Okay. Do you know if Lorillard adds larvicide to its cigarettes?,bin
answer,Not that I know of.,n
question,But there are chicken feathers in tobacco?,bin
answer,Any farm product you're going to have things of that nature in it. We do our best to remove them.,sno
question,Have you done any work with smokeless tobacco products?,bin
answer,"No, I've not.",n
question,Has Lorillard done any work with smokeless tobacco products?,bin
answer,"Yes, they have.",y
question,Does Lorillard believe that smokeless tobacco products are an alternative to cigarettes?,bin
answer,I don't know what their policy is on smokeless tobacco.,dno
question,What smokeless tobacco products are you aware of that Lorillard is exploring?,wh
answer,Right.,ack
question,Okay. Have you ever destroyed documents while working at Lorillard? ,bin
answer,I've destroyed copies. I've never -- I've always kept originals and all documents through our document retention policy.,sno
question,And what is that document retention policy?,wh
answer,"In essence, for research, it's save everything.",sno
question,And how does Lorillard check to make sure that everything is being saved?,wh
answer,"We have retention policy distribution notices sent out. As far as checking, there is a document retention individual who is responsible for making sure the documents are retained. The memoranda are retained electronically automatically. There is no -- there's no destruction in that case.",sno
question,"Earlier you mentioned nitrosamines, what are nitrosamines?",wh-d
answer,"Again, are you asking chemically what they are?",bin
question,"Give a layman's definition, if you can, of what tobacco specific nitrosamine is?",wh
answer,Tobacco specific would mean that it's an alkaloid such as nicotine that's very specific to tobacco and a nitrosamine means that somewhere on the molecule a nitroso group is attached chemically in the NO group.,sno
question,And why is that important?,wh
question,Why is the level of tobacco specific nitrosamines studied?,wh
answer,"Nitrosamines as a general class have been found to show -- have been found that they show cancer in mice. Therefore, it's of interest. We certainly need to study it.",sno
question,Is there a difference in the levels of tobacco specific nitrosamines in burly tobacco versus bright tobacco?,bin
answer,Yes.,y
question,And is there an importance in those different levels?,bin
answer,"Sorry, I don't know what you mean by importance. I don't -- my personal feeling is that neither of them are at a high enough level to be significant, but certainly one of them is somewhat higher than the other.",dno
question,"Do tobacco specific nitrosamine levels increase as smoke ages, that is, as the smoke is being pulled from the cigarette into the lungs and then exhaled?",bin
answer,I have no idea.,dno
question,Do you know if Lorillard uses imported tobacco?,bin
answer,Yes.,y
question,From where do they import the tobacco?,wh
answer,"I know we bring in some offshore tobacco from Brazil. I know that there's an Oriental grade from Turkey, I believe, or Greece.",sno
question,Do you know why Lorillard uses imported tobacco?,wh
answer,Flavor. Turkish tobacco has a very unique character to it.,sno
question,Do you know what criteria Lorillard uses when buying imported tobaccos?,wh
answer,"No, I don't.",n
question,Are you involved at all with buying tobacco?,bin
answer,No.,n
question,Okay. Do you know if Lorillard is aware of the impact of pH manipulation on the effect of nicotine in the human body?,bin
answer,"I'm sorry, I don't understand the question.",dno
question,Is there a measured pH in the smoking of a cigarette?,bin
answer,"The actual pH measurement of cigarette smoke is dependent upon a lot of things. What you're actually measuring is the water soluble fraction of cigarette smoke, since pH is defined on an aqueous scale. Depending on how you derive that measurement, you can get different values.",sno
question,Does Lorillard believe that pH has any effect on nicotine?,bin
answer,"I don't know if there is a company policy on that, no.",n-d
question,Do you personally believe that pH has an effect on nicotine?,bin
answer,"The effects of nicotine on the human body you mean, is that what you're asking?",bin-d
question,Yes.,y
answer,"Okay. Again, I don't know that. The certainly, the state, as far as protonation or non protonation is a pH phenomenon.",dno
question,Does Lorillard believe that secondhand smoke causes disease?,bin
answer,"Yes, that's also a policy stated in the website. Again, we will not contest the Surgeon General's statement that secondhand smoke causes disease.",y-d
question,Does Lorillard believe that secondhand smoke is a risk factor for disease?,bin
answer,"I don't know. Sorry, I don't know that policy.",dno
question,Do you believe personally that secondhand smoke causes disease?,bin
answer,"No, personally, I don't.",n
question,What do you know about this case that you're here testifying for today?,wh
answer,"I was shown the petition and well, I didn't memorize it. I did read it.",y-d
question,Do you know who the plaintiffs are in this case?,bin
answer,"No, sorry, I don't remember them.",n-d
question,Did you meet with any attorneys before this deposition?,bin
answer,"Yes, I did.",y
question,How often did you meet with attorneys before this deposition?,wh
answer,Maybe four or five times.,sno
question,And how long was were those meetings with the attorneys? VO KSii^jiywT*aa*8Saais&im^^,wh
answer,One to two hours.,sno
question,Were they within the course of a few weeks or a greater period of time?,or
answer,Maybe a month.,sno
question,Okay. What would you personally classify as an addictive drug?,wh
answer,The criteria.,sno
question,"Yes, using your definition.",y
answer,The tropane alkaloids and the opiates would fall into that.,sno
question,Can you give me an example of opiate?,bin
answer,"Heroin, cocaine, I'm sorry, heroin is not, morphine, codeine, those are all opiates.",sno
question,Have you ever heard of something referred to as the Chemist's Creed?,bin
answer,"Yes, I have.",y
question,And could you describe to me what those principles of the Chemist's Creed are?,wh
answer,"Not at all, way too long ago.",n-d
question,When did you hear about it?,wh
answer,First year in college maybe.,sno
question,Who set the policies for Lorillard as far as not to disagree with the Surgeon General's?,wh
answer,CEO sets those policies.,sno
question,Does he confer with others at Lorillard or is he the only person that sets those policies?,or
answer,"No, he confers with others.",n-d
question,Would you be one of those individuals that he confers with?,bin
answer,No.,n
question,Do you know who he confers with?,wh
question,Why do you personally believe individuals continue smoking?,wh
answer,Because they enjoy it.,sno
question,And what do you mean by enjoy?,wh
answer,Find it pleasurable.,sno
question,So do you believe the Surgeon General's reports reflect scientific consensus on smoking issues?,bin
question,Smoking and health.,sno
answer,I personally believe that the Surgeon General's report reflects a conservative policy decision that meets with his charge.,sno
question,"Generally, in your opinion, what responsibility does a tobacco company have to their consumers?",wh
answer,"Sorry, could you clarify that?",nu
question,What responsibilities does a tobacco company have to its consumers with products that they put out on the market?,wh
question,"And -- okay. Looking at Lorillard's policy not to disagree with the Surgeon General's reports that smoking causes lung cancer, do you believe that a tobacco company has a responsibility to produce a product to its consumers that does not cause lung cancer?",bin-d
answer,"Sorry, I can't answer that one. I guess any other commercial manufacturing facility, we have a responsibility to make a consistent, high quality product that the consumer can enjoy.",sno
question,"Would you personally agree that the product as used, which is, a person takes out a cigarette, they light it, they inhale the smoke, they exhale the smoke and has been written up in the Surgeon General's report as causing disease, is a responsible thing for Lorillard to sell?",bin-d
answer,"Again, I don't know how to answer that one.",dno
question,"A person today who smokes a cigarette, is that person exposed to risk?",bin
answer,Yes. All cigarettes have risk.,y-d
question,"Thank you. Does Lorillard, as a tobacco company, have a responsibility to its consumers to produce a product without risk?",bin
answer,. I don't know.,dno
question,Do you personally believe that Lorillard has a responsibility to its consumers to produce a product without risk?,bin
answer,"I personally think Lorillard has informed consumers of the risk and I think that we are currently doing research to reduce the level of that risk, which I consider a responsible thing.",sno
question,Would you personally say that there has been a change in the public health perspective with regards to smoking?,bin
answer,I don't know what all the public health perspective is.,dno
question,Do you personally recall a time when there -- smoking was strike that. Do you believe that tobacco smoke is safe for human inhalation?,bin
answer,Me personally? Is this what you're asking?,nu
question,"Yes, you personally.",y
answer,"Again, I'm not sure what you mean by safe. There is an element of risk involved.",dno
question,"Does Lorillard have a definition for a reduced risk product, cigarette product?",bin
answer,I don't know. I don't know any policy that has that definition within it.,dno
question,Do you know if Lorillard has compared their products to any of the other tobacco products on the market?,bin
answer,I don't -- I don't know if --,dno
question,What are the different tobacco plants used by Lorillard in its products?,wh
answer,Different tobacco plants?,nu
question,Are there different strains of tobacco used by Lorillard?,bin
answer,"There are, I don't know what they are. I'm not involved in buying the tobacco.",sno
question,Do you know if those different strains contain different amounts of nicotine?,bin
answer,"No, I don't know that.",dno
question,If Lorillard increased the amount of nicotine in a cigarette would that make that cigarette more palatable for the smoker?,bin-d
answer,I don't know. You're asking for a taste preference of a consumer and I don't know that.,dno
question,Are cigarettes designed to deliver nicotine to individuals?,bin
answer,"""I don't think there's any design specification for delivering nicotine.",sno
question,Have you ever worked on the development of designs for cigarettes?,bin
answer,Not that I remember. You're asking for specifications again. I've never been involved in generating specifications.,n-d
question,"Do you know if Lorillard believes that there is an optimal amount of nicotine needed in order to make a cigarette commercially viable? A, No, I don't know that.",bin
question,Have you ever worked with nicotine analog?,bin
answer,"No, I haven't.",n
question,Do you know if Lorillard has ever worked with nicotine analogs?,bin
answer,"I know we looked into nicotine analogs at one time, I don't know if there were ever any c rea t ed . ",dno
question,What is a nicotine analog?,wh
answer,Chemical similar to nicotine would be a good definition of analog.,sno
question,Is it a synthetic nicotine?,bin
answer,"Again, my definition of synthetic nicotine would be nicotine that you synthesize. I don't an analog is an analog, it's something similar.",sno
question,Do you know if Lcrillard has looked into removing nicotine from tobacco?,bin
answer,Yes.,y
question,Do you know why Lorillard looked into eliminating nicotine from tobacco?,wh
answer,"Yes, I believe this was in -- at least my familiarity was in supplying a source of nicotine for the Nicotine Augmentation Project, which you extract the nicotine from tobacco.",y-d
question,Do you know if nicotine has any harmful effects on smokers?,bin
answer,"No, I ' v e no t .",n
question,Do you know i f any of the f lavors that Lori l lard adds to i t s c igare t t e s contain nicot ine?,bin
answer,"No, I d o n ' t . I d o n ' t know the f l avor formulations.",n-d
question,Do you know if nicotine is lost in the manufacturing of tobacco?,bin
answer,A small amount of it is lost in burly drying.,sno
question,Does Lorillard replace that lost nicotine?,bin
answer,"No, it does not.",n
question,Do you know if Lorillard does anything to deter the marketing of nicotine replacement therapies?,bin
answer,"Sorry, I don't know anything about marketing. I'm not involved in that.",dno
question,"Would you encourage, you, yourself personally encourage people not to smoke?",bin
answer,"If I was asked, they were concerned about their health, yes, I would encourage them not to smoke, to quit. I believe it's the same statement that's on our website,",so
question,"Earlier, you talked about being a hard scientist, and one of the things you reference was dose responsiveness. What do you mean by dose responsiveness?",wh-d
answer,Small concentration elicits a small response and it's related in some geometric or progressive factor as you increase the dose.,sno
question,And would you say that there is a dose response for nicotine?,bin
question,And a viable cigarette product on the market?,bin
answer,I don't understand what response you're looking for.,dno
question,"Earlier, I asked you if Lorillard has done any work to take nicotine out of the cigarette so there would be no dose of nicotine in a 0-milligram nicotine cigarette. Does Lorillard study the amount a smoker would need to receive from one cigarette to get an adequate dose of nicotine from their product?",bin-d
answer,I don't know anyway. ,dno
question,Okay.,ack
question,"As Director of Research for Lorillard, do you consult with third parties outside of Lorillard on research projects?",bin
answer,. I haven't.,n
question,Do you know if any of the flavors that Lorillard adds to its cigarettes contain nicotine?,bin
answer,"No, Idont. I dont know the flavor formulations.",n-d
question,Do you know if nicotine is lost in the manufacturing of tobacco?,bin
answer,A small amount of It is lost in burly drying.,sno
question,Does Lorillard replace that lost nicotine?,bin
answer,"No, it does not.",n
question,Do you know tf Lorillard does anything to deter the marketing of nicotine replacement therapies?,bin
answer,"Sorry, I don t know anything about marketing. I'm not involved in that.",dno
question,"Would you encourage, you, yourself personally encourage people not to smoke?",bin
answer,"I f I was asked, they were concerned about their health, yes, I would encourage them not to smoke, to quit. I believe it's the same statement that's on our website.",so
question,"Earlier, you talked about being a hard scientist, and one of the things you reference was dose responsiveness. What do you mean by dose responsiveness? A, Small concentration elicits a small response and ifs related in some geometric or progressive factor as you increase the dose.",wh-d
question,And would you say that there is a dose response for nicotine?,bin
question,And a viable dgarette product on the market?,bin
answer,I dont understand what response you'ne looking for.,nu
question,"Earlier, 1 asked you if Lorillard has done any work to take nicotine out of the cigarette so there would be no dose of nicotine in a O-milligram nicotine cigarette. Does Lorillard study the amount a smoker would need to receive from one dgarette to get an adequate dose of nicotine from their product?",bin-d
answer,I don't know anyway.,dno
question,Okay.,ack
question,"As Director of Research for Lorillard, do you consult with third parties outside of Lorillard ] on research projects? ]",bin
answer,"I haven't, ]",n
question,"Good morning, Mr. Gains. Would you please state your name for the record.",wh
answer,"Certainly, Lawrence Howard Gains.",sno
question,"I'm Sheila Sullivan. I'm here on behalf S of the plaintiffs and I'm going to be asking you questions this morning. And you*11 be giving me some answers. If there's a question you don't understand, please let me know. If you answer a question, I'm going to assume that means that you understood the question. Have you been deposed before?",bin-d
answer,Yes.,y
question,How many times?,wh
answer,Once.,sno
question,Okay. And what case was that for?,wh
answer,This was in an employment related case.,sno
question,Okay. What is your current home address?,wh
answer,"Greensboro, Zip Code, 27455.",sno
question,Okay. And what's your office address?,wh
answer,"420 English Street, Greensboro, Zip Code 27405.",sno
question,Okay. Let's go through your educational history and if you could just tell me where you went to school and what degrees you earned and what year that was all accomplished.,wh
answer,You want me to start with high school?,bin
question,Sure.,y
answer,"Okay. Graduated high school in 1966. I then attended the University of Pennsylvania and had a BS in chemistry in 1970. Then I went to the University of Arizona from 1972 to 1979, got both master's and Ph.d's in organic chemistry at the University of Arizona.",sno
question,And when were you first employed with Lorillard?,wh
answer,August of 1979.,sno
question,Have you had constant employment with Lorillard since then?,bin
answer,Yes.,y
question,Have you worked for any other tobacco companies?,bin
answer,NO.,n
question,Have you worked for any other companies?,bin
answer,Yes.,y
question,What were those companies and what was that type of employment?,wh
answer,"Between undergraduate school and graduate school, I was employed by Nabisco in Fair Lawn, New Jersey as a product development chemist.",sno
question,Have you worked for any other companies?,bin
answer,No.,n
question,Have you ever been asked to consult on anything outside of Lorillard since your employment here?,bin
answer,No.,n
question,Have you ever been retained as an expert for any reason?,bin
answer,No.,n
question,"Well, let's go through your work history at Lorillard. And know from the first year what your different job titles have been and we'll just start from your first year of employment up to the present.",wh-d
answer,"Okay. I began in '79 as a research chemist. And approximately six or seven years later, I believe it was, I was promoted to senior research chemist. And then some years later than that, I apologize, I don't remember the exact year, I was promoted to manager. At that time I was managing a section within the Research Department called the Organic Chemistry Section. And then a few years later, the Director of Research and I decided it was appropriate to change the name of the section, although the position didn't change, just changed the name of the work from organic chemistry to tobacco chemistry. And then in December of 2002, I took my current position, which is Manager, External Research.",sno
question,"I'm sorry, I didn't hear that.",dno
answer,"Manager, External Research.",sno
question,What were what does a research chemist do for Lorillard back in '79? What were your duties in that job?,wh
answer,I was hired as an organic synthesist and my duties were to work in the laboratory and to synthesize various molecules.,sno
question,"And what were you looking for when you were synthesizing various molecules? You'll have to excuse me, I'm not an organic chemist. CM",wh
answer,"That's fine. The project was aimed at trying to understand relationships between chemical structure and odor and taste. And the idea was to understand enough about structure, odor and taste relationships to be able to design flavorants that would make cigarette taste appealing, maybe take a cigarette that is very low in tar and make it taste like a Marlboro, so that there would be good consumer acceptance, despite having very low tar.",sno
question,"Now, you mentioned Marlboro, is that the industry standard for cigarette taste?",bin
answer,"I don't really know if it's the industry standard. I think probably Marlboro was selected because it was the largest selling product, it had the greatest consumer acceptance.",dno
question,"Now, when you were promoted to senior research chemist, that was a promotion?",bin-d
answer,Yes.,y
question,What was your -- what were your job duties then?,wh
answer,"Pretty much the same, I was just able to work at a more independent level.",sno
question,"And then you said a couple of years later, so sometime in the mid eighties?",bin-d
answer,Yes .,y
answer,"Let me think, I think it was -- I think it might have been around '91 or '92 that I was promoted.",sno
question,Okay.,ack
answer,"I apologize again, I don't recall the exact year it was. Yes, I was promoted to manage the group that I had been working at up until that point.",dno
question,What were your duties then as a manager?,wh
answer,"I would be responsible for conducting performance reviews of the staff, for overseeing annual project activities, annual budgets, helping make decisions along with the research director and the senior officers in the R and D area about what project activities and how technical resources within the work group that I was responsible for would be applied.",sno
question,So you added administrative duties then?,bin
answer,"Yes, I didn't work in the laboratory any longer. I gave up working at the bench at that point.",y-d
question,"In about f91, you stopped working in the l a b ?",bin-d
answer,"Yeah, '91, '92, somewhere in that neighborhood, I believe.",so
question,Do you miss working in the lab?,bin
answer,Very much so.,y
question,"Do you ever go back and just for fun, play in the lab equipment?",bin
answer,The staff gets a little nervous when they see me put on a lab coat.,sno
question,"So today, even though the job title has changed, you're doing the same job that you were promoted to in '91?",bin-d
answer,Not since my last job title change in December of '02.,sno
question,Okay.,ack
answer,I have a different role now from what I had up until that point.,sno
question,What is your role today?,wh
answer,"I manage external research, which is a role where I do not have any direct reports at all. The way that I would explain the role is my job is to develop and machine external partnerships and collaborations with academic and non academic institutions that are aimed at complimenting our internal scientific expertise and advancing fundamental scientific understanding of smoking",sno
question,So yon have nobody in Lorillard that reports to you directly?,bin
answer,That's correct.,y
question,And who do you report to?,wh
answer,I report to Dr. Carr Smith.,sno
question,And do you know who he reports to?,wh
answer,Yes.,y
question,And who would that be?,wh
answer,He reports to Dr. William True.,sno
question,And do you know who Dr. True reports to?,wh
answer,Yes.,y
question,And who would that be?,wh
answer,Mr. Martin Orlowsky.,sno
question,And do you know who Mr. Orlowsky reports to?,wh
answer,"I don't know that he reports to anyone within Lorillard. He is the CEO, the president and the chairman.",sno
question,"All right. Okay. Who do you collaborate with outside of Lorillard on these different academic we'll start with the academic ones, academic projects?",wh
answer,"I can answer the question maybe somewhat differently but still get to what I think you're wanting to know, if you want to know with whom we have external relationships.",sno
question,Yes.,y
answer,"Because these relationships are all very different, some of them are very independent where we just fund the research and we do not directly collaborate. The research is conducted independently. And in some cases, the research is very direct and very focused and there is a very close collaboration. At the present time, we have collaboration going with Dr. Corwin Hatch of Pomona College and Dr. Roger Garg, who I believe is with CIarkson University, I believe that's in Pottstown, New York and Dr. Carr Smith of our organization, and there may be one or two other people within our organization that are contributing to that project. That project is involved with quantitative structure activity relationships.",sno
question,Okay. Could you give me a layman's terms of quantitative structure relationships for this project?,bin
answer,I'm not very expert in this. I'll do my best .,sno
question,Okay.,ack
answer,"This is really outside of my scientific discipline, so this is not necessarily going to be as accurate as it might be if you talked to Carr about it, for instance. My understanding is QSAR, or QSAR as people call it, involves mathematical calculation of properties of classes of compounds that predict those properties based on measured values for representatives compounds within that class.",sno
question,"And when you say compound, what are you referring to?",wh-d
answer,"They're different classes of chemicals, alcohols, for instance, would be a class of chemicals. So if you were to apply QSR to alcohols, the technique enables you to predict things like siability, volatility, perhaps some biological properties by having measurements on a small number of alcohols and deriving relationships, mathematical relationships, between those properties and those alcohols that you could then use to calculate what the properties would be for other alcohols that you did not actually make those measurements on.",sno
question,Okay.,ack
answer,"And I believe this is a technique that is widely used for, for instance, food additives, possibly pharmaceuticals, I think it's probably very widely used in the pharmaceutical industry. And as I say, this is outside of my technical expertise.",so
question,"Okay. But in your position here at Lorillard, you these different projects run through you, do you approve these?",bin-d
answer,"No, I don't approve them, my role is to build the relationships, identify either academic resources or non academic resources that will compliment our internal expertise or that will represent scientific areas and fundamental research areas that we believe are important to support and to establish those relationships, and then to broker whatever contracts, whatever documentation needs to be put in place between scientific staff, internal and scientific and administrative staff externally to consummate these deals, these relationships, so it's not really a technical role.",n-d
question,"Okay. So somebody in Research and Development are grouped in one of your own science labs would come to you and say we need X, Y and Z in this area, and you would go out and find third-parties to fulfill that area?",bin-d
answer,"Yes. Sometimes I would have to find someone, sometimes the scientific personnel would already know people that were active in a particular field or had a particular technological capability, and they would identify those people and ask me to contact them, handle all the administrative arrangements with the institution.",y-d
question,"And with your background in organic chemistries, are you using your own scientific knowledge in brokering these deals or are you now mainly an administrative person that has no say on any of the science going on?",or
answer,The latter.,sno
question,Okay.,ack
question,Do you have any stock options?,bin
question,Do you receive any bonuses?,bin
question,Do you have a retirement plan fund or contributed to by Lorillard?,bin
question,"Do you know if Lorillard, what their contributions to your 401K are?",wh
question,Do you know if they have ever reached the legal ceiling?,bin
answer,With me?,nu
question,Yes.,y
answer,I doubt it.,n
question,Okay. What are the pension benefits?,wh
question,We talked about funded research and you mentioned Penoma College?,bin
answer,Pomona.,sno
question,"I'm sorry, Pomona. I should be able to pronounce that, what funded research is Lorillard currently involved in?",wh
answer,There's one funded research that we have going on at the present time and it involves Davis Heart and Lung Institute at Ohio State University.,sno
question,And what is that project?,wh
answer,We brokered I brokered a deal that we consummated last December with the director of the Davis Heart and Lung Institute and the company made a gift to fund the establishment of a new biomedical research center on smoking induced disease.,sno
question,And does Lorillard have any input on the types of research that the Davis Center is doing?,bin
answer,No.,n
question,"Okay. Now, the directed research you talked about, what projects are going on within the directed research?",wh-d
answer,"The directed research is really pretty narrow in scope right now. There are, besides the QSR program that I mentioned, I think it's accurate to say there are two others at the present time, one of them is with an individual in Minnesota, who is an expert in flavoring in calculation and controlled release. And one is with a company called Dimon, D-i-m-o-n, which involves supporting an agronomy program that Dimon has to try to understand what OJ CM CD agricultural practices correlate with low TSNA formulation in burly tobacco types.",sno
question,Could you please give me the full name of TSNA?,wh
answer,TSNA is an abbreviation for tobacco specific nitrosamines.,sno
question,And so this group in Minnesota is looking at producing a particular type of burly tobacco?,bin-d
answer,"No, no, no, there are two separate programs, the one in Minnesota has nothing to do with burly tobacco.",n-d
question,Okay.,ack
answer,The one in Minnesota involves an individual who is an expert in encapsulation of flavors.,sno
question,"I'm sorry, that was my mistake. The Dimon group is working on the burly?",bin
answer,Yes.,y
question,And what are they are they trying to develop a new strain of burly tobacco?,wh
answer,"My understanding, and again this is outside of my scientific expertise, I'm not an agronomist and I'm really not very knowledgeable about tobacco growing, but my understanding is that they're examining the various parameters, fertilization, moisture, curing techniques trying to understand which of these variables are correlated or important to the production, the natural production of TSNA in burly tobacco.",sno
question,"Thank you for that clarification. The individual in Minnesota working on flavoring encapsulation, why would Lorillard be looking in that direction?",wh-d
answer,"The interest in encapsulation of flavor for my understanding is that as technologies are identified to remove in some fashion, components of cigarette smoke, there are deficiencies in those technologies in that those same technologies remove flavor, important constituents, specifically menthol. And as a cigarette company whose biggest selling product is a menthol product, we're interested in finding techniques that could overcome that deficiency so that we could potentially produce products that selectively remove undesirable components of the aerosol but do not negatively impact the delivery of menthol.",sno
question,"Now, you just mentioned undesirable components.",sno
answer,Uh-huh.,ack
question,Could you describe what those undesirable components are?,wh
answer,I think generically people focus on what's called the Hoffman list. There are various lists that I've seen that have been put forth by different people in public health community and elsewhere. I think the one that people seem to attach the most significance to is the so-called Hoffman list.,sno
question,And how many compounds are on the Hoffman list just roughly?,wh
answer,"It's 40 some odd, I think it's between and 50, I believe.",so
question,So would you consider yourself an expert in organic chemistry at this point?,bin
answer,I'm not sure I know what you mean by an expert. I will tell you that it's been quite a few years since I practiced as an organic chemist and whatever expertise I had at that time is probably obsolete by this point.,dno
question,You don't take continuing education in organic chemistries?,bin
answer,"No, I do not.",n
question,What do you know about this particular case. The City of St. Louis versus several different tobacco companies?,wh-d
answer,"I've read the -- I'm not certain that I have the legal terminology correct, but I've read the -- is it called the petition or the complaint?",y-followup
question,Yes.,y
answer,"I've read that, so I'm aware that the hospitals or most of the hospitals or a large group of hospitals in the City of St. Louis are suing the tobacco industry and various related businesses to the tobacco industry seeking to recover costs that the hospitals have incurred in providing care to indigent people who are smokers.",sno
question,"Before your deposition today, did you meet with any attorneys?",bin
answer,Yes.,y
question,Did you meet with any other Lorillard employees?,bin
answer,NO.,n
question,How long did you meet with the attorneys before this deposition?,wh
answer,"Oh gosh, we had a number of meetings, each of the meetings was anywhere from an hour to maybe two, two to three hours. I don't recall exactly how I many meetings, several.",sno
question,Okay. In a long span of time like in a month or in a week?,qo
answer,It's probably been four to six weeks.,sno
question,"Okay. Going back to your time in school, a very well known Pack 10 School, did you ever learn any information about tobacco at that time while you were in school?",bin-d
answer,No.,n
question,Did you learn while in Arizona about tobacco causing disease?,bin
answer,"I'm not sure I know what you mean by learn, you mean as part of my formal training or my classroom --",dno
question,"Part of your formal training, yes.",y-d
answer,No.,n
question,"Okay. Informally, during those college years, did you know anything about tobacco being linked to any sort of diseases?",bin
answer,"Well, I was surrounded by a lot of people that were smokers. I'm not a smoker myself, and certainly I had an opinion that smoking was not healthy behavior in which to engage. But if you're asking did I have any scientific awareness or scientific study of that, no.",sno
question,Who were the people who were smoking around you at that time?,wh
answer,"Well, faculty and other graduate students.",sno
question,Any members of your family?,bin
answer,"When I was a kid., both of my parents smoked, yes.",y-d
question,Are your parents living today?,bin
answer,My mother is.,sno
question,"Today, do you know which diseases have been linked to tobacco smoking?",wh
answer,"If you're asking do I know from a factual, scientific point of view, no, I don't, but I've certainly -- I'm certainly aware of what people say and what people have represented, especially in the health community. I've heard certainly lung cancer and some other diseases, I'm not sure I can give you a list, comprehensive list. I mean I just know generically, cigarette smoking is bad for you.",n-d
question,Okay. Have you heard of emphysema being linked to cigarettes?,bin
answer,Sure.,y
question,And various cancers to different body parts?,bin
answer,"Again, I've heard that, I'm not sure I really -- beyond lung cancer, I'm not sure I really could identify any other specific ones.",dno
question,"And since 2002, your job has been to broker scientific experiments and projects for Lorillard and you're not able to link smoking with suggestive diseases?",bin-d
answer,Could you go back and give me that a piece at a time? I really lost the thread of what you're asking.,confront
